W_top,W_bot,tsi,Vg
135.52,164.64,32.75,25.28
62.51,80.96,35.89,37.7
134.19,165.34,18.79,15.42
18.15,28.88,17.35,38.77
42.71,106.23,32.11,25.9
8.2,22.23,40.43,9.31
18.18,123.64,40.16,1
44.65,223.08,14.98,31.94
18.11,63.77,43.99,14.15
4.77,11.69,21.89,20.92
65.33,121.94,14.28,9.35
3.2,211.43,23.35,33.01
5.55,44.54,14.47,34.84
162.48,174.24,44.83,2.13
14.96,62.09,26.18,16.6
21.75,89.62,34.43,17.04
97.3,152.56,25.4,31.59
34.53,176.44,39.99,37.67
46.13,103.69,38.19,5.21
88.76,217.82,44.9,4.97
22.71,57.89,48.24,4.01
2.62,55.35,20.68,30.32
49.47,226.58,18.06,8.25
109.13,229.35,26.27,6.73
45.77,73.2,18.66,14.85
33.86,127.39,23.91,2.05
62.42,143.54,28.69,8.36
93.06,246.32,21.99,16.24
227.64,245.67,12.74,3.62
48.23,67.31,35.69,15.95
29.67,38.98,18.82,35.63
55.58,152.91,13.62,30.02
0.54,29.4,27.71,12.5
10.93,20.47,24.9,29.5
66.4,109.37,12.24,26.77
55.9,148.57,27.92,5.77
11.4,58.08,39.93,38.82
179.52,189.26,33.05,39.42
25.84,43.69,40.82,5.65
223.54,246.55,19.91,16.9
30.37,39.01,14.99,20.93
130.08,144.88,21.44,35.65
2.5,14.84,47.29,16
12.7,13.07,11.35,32.32
179.56,191.76,31.59,11.07
71.21,147.76,24.91,2.22
3.66,13.68,30.03,25
2.33,102.19,39.43,12.52
15.26,144.06,30.14,16.39
34,96.74,28.69,10.7
2.27,16.71,34.45,35.23
67.33,82.38,38.44,7.69
97.02,249.25,40.75,3.18
14.61,30.18,19.66,26.74
157.37,166.81,33.46,8.21
216.54,232.77,33.1,22.91
186.12,208.79,38.34,23.37
14.85,105.5,39.52,22.68
18.65,94.63,46.37,32.5
65.2,139.52,27.31,27.73
114.93,129.63,14.82,19.35
11.2,59.46,21.82,4.37
87.44,127.55,40.04,39.98
55.61,65.4,16,37.63
55.98,198.49,30.19,32.11
80.25,166.74,19.16,4.27
4.67,27.98,30.74,27.62
28.93,41.69,35.01,12.11
9.11,34.1,33.37,6.6
56.38,153.15,28.53,4.79
88.99,103.7,49.8,36.48
166.68,186.92,44.99,22.51
202.31,241.84,14.67,37.32
21.25,103.85,46.83,26.34
46.21,122.92,11.91,26.12
11.2,21.51,22.36,36.22
190.61,244.54,49.8,21.64
52.66,201.64,46.65,34.82
26.19,48.03,33.42,13.81
20.22,28.06,47.86,26.34
71.87,178.89,36.25,9.15
140.98,177.44,45.62,32.41
57.95,95,13.29,2
7.31,43.74,23.4,19.88
29,30.63,21.98,28.44
147.44,249.68,24.58,11.06
28.42,213.27,29.43,8.64
9.09,19.12,15.81,21.61
165.24,192.78,37.15,4.46
58.14,86.99,26.23,27.84
5.5,72.3,35.38,17.13
15.76,32.59,24.26,31.42
12,40.37,45.37,1.53
26.48,130.38,47.56,24.48
100.9,199.1,23.6,8.66
73.1,231.47,20.38,30.26
41.37,115.9,10.07,12.07
6.21,221.96,34.17,24.36
113.58,118.22,11.03,18.93
153.99,205.9,16.67,3.75
3.41,54.26,22.21,28.51
21.14,41.71,17.66,30.19
10.94,11.1,47.2,1
17.81,44.88,33.17,8.59
18.56,91.99,15.24,8.88
1.23,83.33,28.02,38.45
60.73,103.83,25.6,8.24
62.39,91.69,46.43,33.75
216.77,227.22,37.77,24.05
94.97,108.71,37.02,37.92
64.88,71.48,38.44,3.24
102.63,126.25,15.94,5.79
58.74,96.16,49.25,8.91
12.48,18.89,10.93,1.88
109.56,245.56,21.85,35.07
16.28,95.9,22.36,20.07
42.05,135.47,46.18,30.33
19.84,29.75,30.63,16.8
0.11,47.77,45.86,5.73
29.55,33.66,26.14,11.15
14.83,33.29,13.89,37.41
19.05,40.28,38.18,25.85
14.49,14.73,39.72,22.5
37.78,103.99,41.33,34.13
64.15,188.83,33.28,37.71
82.58,87.86,15.13,21.07
10.65,11.54,32,29.41
76.55,160.82,47.4,37.52
114.99,233.84,47.99,8.61
108.43,148.05,40.47,32.93
35.85,80.22,19.29,17.7
28.65,32.22,36.58,24.24
53.13,56.14,27.75,35.21
13.18,49.04,24.11,17.71
4.47,81.45,28.93,10.28
193.27,225.28,43.38,38.88
2.24,18.92,21.78,20.69
3.37,38.37,15.66,25.16
26.54,40.46,37.92,36.19
39.99,118.11,40.39,28.23
94.4,115.31,13.25,22.26
101.09,171.47,28.71,10.69
19.57,69.44,30.88,11.81
125.95,235.26,20.72,27.16
136.33,184.91,20.36,36.32
19.68,199.03,46.13,17.59
73.72,186.28,48.75,5.23
27.2,220,30.5,24.18
25.75,199.77,21.33,22.38
21.44,44.21,44.14,29.16
5.76,31.08,35.92,38.31
8.96,163.88,27.39,29.26
0.32,237.7,44.05,25.66
27.69,30.89,37.48,31.28
39.44,125.21,39.68,9.57
118.92,145.49,42.08,32.22
18.57,61.13,44.19,25.69
103.56,203.86,11.5,1.93
11.68,26.35,13.82,1.2
85.81,147.77,11.75,32.06
154.64,240.55,24.89,24.68
108.02,167.94,20.4,24.99
13.82,32.93,20.91,10.26
68.04,223.75,12.89,7.66
48.78,164.3,15.57,25.33
91.27,138.51,47.49,22.81
59.77,65.45,28.22,9.16
136.3,214.39,35.52,8.94
27.63,195.21,48.03,0.37
7.52,10.87,10.39,27.46
115.17,182.6,44.15,36.07
22.65,81.05,14.54,6.81
19.91,180.47,36.49,13.14
109.04,115.55,21.61,3.22
0.71,249.18,17.95,5
133.4,247.72,37.18,12.69
82.9,112.27,27.81,7.81
66.15,97.39,21.39,17.95
3.85,12.42,49.37,21.58
60.96,224.88,38.61,21.46
73.22,249.44,23.74,39.84
71.73,74.58,31,15.02
218.94,248.27,23.46,20.95
10.41,136.46,16,9.79
147.57,187.67,40.64,10.92
31.38,33.63,28.43,2.16
51.18,178.25,47.59,11.65
99.45,196.91,34.49,23.59
167.51,187.76,49.97,6.68
204.6,211.74,45.03,35.47
0.46,68.03,44.91,36.51
108.31,216.67,27.88,18.47
58.77,151.05,22,21.75
154.02,174.52,12.94,17.09
87.79,91.67,49.47,13.19
9.8,13.36,22.58,32.28
21.64,126.65,14.55,11.19
144.98,157.08,17.43,16.67
82.24,101.83,22.84,18.19
4.27,108.23,16.23,18.52
72.25,72.7,38.75,7.48
72.87,133.74,47.82,28.65
57.5,135.58,40.31,13.11
86.32,91.09,29.88,31.39
62.16,64.98,23.33,21.46
162.92,232.41,35.09,10.41
8.14,166.65,39.44,10.88
131.6,244.21,44.36,38.95
3.4,63.22,22.96,6.48
170.3,208.28,39.27,32.29
82.24,132,35.25,33.41
29.45,57.57,17.14,28.4
85.65,93.14,40.52,11.91
9.34,81.32,46.97,33.7
162.31,164.82,38.81,13.06
17.94,49.51,23.37,32.68
34.41,58.74,35.42,28.37
105.51,182.6,33.72,8.7
2.35,22.93,30.25,25.39
82.06,151.29,21.04,6.21
104.62,196.68,46.93,11.89
25.42,49.79,44.9,29.78
4.79,23.32,38.13,1.72
3.34,32.82,39.19,21.86
180.15,220.84,17.86,14.96
38.06,223.67,49.74,3.14
16.02,86.58,14.58,37.63
24.48,48.14,49.75,25.37
58.06,186.67,29.15,28.63
54.61,86.62,45.41,34.69
234.59,242.96,22.44,26.44
30.78,35.45,42.42,30.25
29.35,92.99,41.15,12.06
93.39,129.16,28.16,19.06
52.66,202.31,38.37,30.69
187.39,219.46,16.25,4.94
57.59,69.61,38.22,15.04
135.4,235.79,38.61,30.1
45.98,198.04,20.14,35.45
186.87,221.65,15.83,25.48
35.66,67.44,42.86,26.99
119.45,181.04,45.02,27.39
63.14,226.9,39.16,17.98
87.99,182.58,29.48,11.95
7.23,154.46,43.22,32.79
89.78,148.28,27.73,2.46
53.24,151.3,32.06,17.69
30.08,223.3,11.12,33.96
3.23,189.86,46.28,29.35
44.76,237.21,13.78,20.28
135.13,207.96,13.02,6.29
0.84,79.38,33.56,23.39
43.22,126.19,12.94,12.7
2.52,53.68,35.45,0.67
22.48,197.09,26.75,21.56
156.5,189.19,48.51,10.49
147.63,226.27,23.64,13.78
44.68,171.23,19.66,10.77
2.03,125.01,14.78,35.48
5.17,44.9,18.03,6.5
121.37,152.09,36.43,30.47
1.62,27.38,34.23,21.82
41.13,75.97,23.85,0.99
104.09,229.75,11.28,24.24
14.55,53.46,12.93,20.98
84.13,84.97,37.53,32.22
37.5,138.15,10.03,2.33
2.24,111.5,37.35,35.9
18.85,76.38,49.23,21.88
86.75,130.02,26.84,0.23
4.34,218.42,22.18,17.87
24.81,239.29,29.67,15.28
138.85,149.06,41.95,24.06
145.54,204.28,20.25,21.69
125.98,223.88,28.92,23.58
86.6,97.14,48.02,3.82
35.26,84.94,33.23,19.93
85.29,114.06,33.73,29.19
23.87,213.23,21.25,30.99
27.31,120.22,16.66,32.62
36.53,55.29,23.13,2.05
125.7,218.16,24.42,23.97
67.14,117.11,25.3,0.91
7.81,13.4,44.03,6.27
115.26,221.7,44.81,6.42
99.35,134.6,16.22,36.71
46.6,78.06,10.41,33.37
22.18,100.92,18.49,29.49
0.26,139.78,44.33,37.7
25.17,228.78,49.96,5.48
25.37,57.67,44.59,20.33
138.47,155.71,27.78,38.69
2.33,57.03,13.05,1.31
14.01,26.49,31.37,32.21
42.35,73.35,23.01,27.62
9.41,179.23,20.8,8.18
140.99,231.6,34.21,1.24
70.47,208.64,37.67,25.35
172.02,177.83,41.67,27.8
103.6,105.62,10.52,31
15.72,163.86,39.95,17.4
9.65,29.54,44.81,30.99
30.66,157.53,30.84,2.33
124.44,221.29,16.83,27.82
185.35,201.07,45.33,3.92
129.64,132.65,45.49,38.73
35.63,67.65,20.69,5.04
104.56,145.53,22.92,26.04
194.89,234.37,43.74,36.32
43.24,60.6,21.34,31.24
148.97,153.09,44.13,15.28
51.23,124.04,27.59,7.42
16.21,18.15,23.73,4.8
59.23,147.27,48.96,17.86
20.84,38.57,11.33,30.13
47.36,134.64,33.71,18.86
53.18,92.99,10.99,33.15
5.85,165.65,15.84,8.78
82.93,95.6,18.8,10.49
186.02,194.15,35.09,39.33
67.4,169.21,44.9,30.6
88.94,232.68,48.09,19.07
28.38,108.71,29.76,30.03
146.18,226.35,37.63,4.97
51.66,63.85,33.38,12.02
161.78,165.75,35.05,14.75
36.33,228.02,46.56,15.47
117.11,155.83,34.38,36.28
0.2,15.19,38.81,19.35
193.68,236.36,15.04,14.54
52.83,137.48,48.77,27.02
65.22,243.44,44.85,7.03
27.4,187.78,22.02,25.37
2.6,115.65,27.66,22.41
133.75,244.22,48.98,37.14
161.97,198.1,48.03,39.2
17.9,220.11,10.36,5.8
4.25,140.53,31.09,16.93
99.99,110.47,33.75,12.05
77.54,96.28,34.14,32.37
105.09,199.21,34.77,16.29
45.7,77.63,33.06,23.65
143.94,173.95,28.42,26.98
41.01,47.46,32.52,21.06
87.04,114.62,26.57,4.43
201.05,217.66,49.41,22.87
111.61,150.37,30.95,26.04
7.52,64.62,44.52,10.99
3.61,226.8,15.01,6.83
0.02,148.25,28.64,19.8
78.76,224.48,24.71,3.86
11.08,18.55,23.98,33.84
33.34,44.96,20.23,10.79
125.56,204.06,20.48,22.77
43.45,47.95,29.94,37.91
210.87,223.91,31.49,23.38
77.65,110.66,40.36,14.39
40.13,84.62,36.15,16.77
129.3,158.69,25.79,30.51
61.26,71.32,46.38,7.6
6.94,173.95,22.95,17.97
2.75,19.87,39.49,8.05
77.96,154.56,37.97,25.34
44.75,214.97,26.47,1.73
11.01,50.7,34.66,0.29
43.29,67.69,48.45,24.46
49.62,55.27,25.71,4.09
13.05,27.59,45.59,36.11
168.6,228.47,11.53,24.5
0.51,92.13,49.87,12.44
28.64,213.54,47.18,24.9
1.27,17.36,30.51,18.29
23.75,41.3,19.45,22.78
44.25,236.64,38.32,39.17
40.54,97.08,46.85,25.52
183.83,226.37,46.36,13.19
212.08,249.6,46.79,2.57
23.44,70.11,36.46,26.61
44.2,129.68,19.56,14.78
32.52,116.35,43.09,18.75
123.05,171.55,40.54,14.77
2.19,149.05,18.78,35.94
127.57,158.33,27.5,10.03
4.46,51.91,21.08,37.79
11.06,67.98,12.33,0.97
18.16,29.03,19.65,34.93
10.94,103.3,17.65,19.61
169.35,238.15,34.37,21.72
105.6,192.5,26.04,13.54
140.9,219.19,30.22,21.81
8.81,28.91,19.47,37.46
21.79,214,38.78,7.79
110.73,147.38,16.96,8.33
39.2,62.3,48.95,26.07
170.1,232.68,15.19,22.63
16.2,22.44,14.2,35.99
13.59,189.21,35.51,0.41
41.59,129.87,33.16,21.59
20.51,242.58,42.16,20.27
52.02,158.5,39.3,13.56
168.71,238.64,19.05,32.24
108.64,244.38,21.04,18.52
34.38,75.33,31.91,10.34
51.64,180.61,17.19,13.65
30.12,85.42,35.57,31.09
44.73,236.37,19.56,38.04
134.01,240.22,41.95,34.45
108.94,136.01,22.29,7.14
36.69,136.29,36.55,24.35
22.02,60.72,33.18,30.7
161.91,229.93,40.64,28.53
4.77,16.93,35.44,25.06
2.34,28.26,32.03,30.78
8.91,18,39.45,27.09
25.15,91.58,16.04,24.48
27.2,98.52,31.06,6.95
47.76,164.49,34.55,15.67
128.59,217.1,11.24,21.19
35.48,61.96,12.72,37.85
63.28,160.28,39.39,39.49
217.75,224.31,48.2,38.29
25.31,59.09,44.98,26.96
26.99,101.25,27.68,8.8
58.99,242,18.81,13.16
184.39,217.83,36.16,33.11
185.72,195.96,42.58,14.4
3.93,21.04,10.72,30.27
49.87,143.34,33.55,9.66
87.01,228.95,17.51,3.05
2.5,19.06,13.93,22.49
187.11,199.81,14.87,37.25
75.34,209.7,14.06,8.81
131.22,205.72,32.38,1.59
131.09,153.58,37.9,35.64
75.31,143.14,49.61,17.85
132.38,235.73,46.99,39.17
3.56,231.41,22.11,38.7
14.39,27.83,47.37,34.82
165.49,193.06,35.15,35.62
198.46,204.38,27.33,13.13
41.76,45.94,37.07,27.73
74.3,124.89,26.58,25.51
184.52,214.9,42.94,39.22
29.07,82.91,16.17,6.4
111.46,126.7,18.21,15.17
120.79,224.54,13.3,9.07
5.65,89.85,36.89,16.21
84.56,85.51,11.44,33.33
167.73,178.1,24.43,12.72
14.89,51.01,28.13,30.3
127.43,189.2,35.82,6.65
5.38,152.91,34.01,20.84
46.14,219.58,46.57,13.81
166.87,223.99,48.94,9.33
103.7,160.14,45.33,38.15
93.18,242.31,44.64,30.73
134.9,154.5,30.86,10.88
157.49,180.58,45.62,16.5
67.38,187.21,34.9,37.12
30.15,67.89,15.91,14.05
63.35,84.04,49.31,15.19
149.76,173.21,26.38,16.99
6.79,12.93,13.68,14.72
187.02,193.43,14.9,28.58
25.43,231.74,35.58,14.31
79.8,99.82,41.11,29.88
119.95,146.7,34.86,31.35
134.47,176.87,19.85,21.43
94.02,115.55,40.87,16.99
112.77,156.93,17.37,6.09
84.4,180.73,10.61,4.97
47.63,248.27,35.26,37.46
45.75,196.09,25.93,26.26
75.06,174.5,23.87,12.6
178.12,239.42,33.15,3.13
160.14,240.01,17.26,20.96
31.04,47.8,21.95,32.05
49.84,207.19,16.34,33.05
63.17,187.97,13.69,4.86
8.08,38.52,32.9,24.76
1.12,10.12,43.83,8.8
152.83,197.22,22.26,13.28
26.96,76.74,29.42,35.88
77.01,170.01,30.84,39.45
95.84,148.54,14.49,34.84
94.31,245.57,14.49,18.61
8.19,16.82,27.66,21.69
11.26,20.58,11.71,5.65
37.95,44.96,49.9,35.7
85.53,164.21,12.81,25.54
44.07,174.28,31.56,15.66
69.09,187.71,13.24,26.24
91.91,203.62,26.4,8.27
7.81,34.06,19.64,34.27
20.17,56.5,36.1,24.49
0.22,157.25,26.72,31.08
0.33,26.07,10.43,7.48
21.83,65.34,10.37,21.67
8.29,12.53,22.1,11.14
23.53,48.48,37.02,18.56
6.5,22.43,32.77,2.98
1.53,92.48,34.12,38.62
65.15,108.09,44.96,25.4
77.41,191.94,26.17,20.79
44.13,152.34,16.68,7.75
75.77,198.59,33.88,27.86
19.04,239.41,19.41,16.91
101.78,142.68,22.03,9.56
23.73,29.86,30.45,25.85
67.15,206.86,24.22,2.92
118.41,189.54,32.24,34.56
3.38,52.6,27.47,19.29
115.24,140.89,47.17,27.06
18.29,189.45,41.69,5.63
59.41,109.81,41.92,38.61
6.74,43.44,33.01,28.4
130.96,184.75,11.29,37.91
56.74,117.33,32.39,35.8
9.71,79.8,28.48,22.28
3.4,12.08,42.45,34
12.83,39.21,20.66,15.3
80.96,180.98,10.46,17.52
32.18,97.13,44.23,5.59
70.56,245.48,11.75,5.43
87.08,151.33,37.24,26.03
45.3,89.14,13.57,0.85
110.62,135.23,48.63,8.31
131.75,216.07,16.51,34.26
43.28,107.68,39.66,6.03
45.78,191.89,33.95,5.15
68.23,120.14,27.71,18.87
240.34,241.03,22.15,38.4
58.73,235.95,11.53,21.13
28.85,37.31,23.48,19.49
17.43,102,24.03,34.39
8.14,99.49,34.4,3.68
51.87,114.5,30.82,20.67
12.21,12.9,14.24,30.92
87.06,242.78,39.59,26.75
36.57,249.58,20.76,9.17
30.56,181.61,16.01,35.93
103.11,120.25,17.71,19.77
152.62,187.11,45.51,21.35
76.51,181.53,28.89,22.25
81.08,84.73,14.7,5.32
100.44,176.19,16.67,6.79
23.02,52.94,21.44,2.78
7.34,33.01,45.72,6.95
131.7,159.44,28.19,11.84
9.52,77,29.5,22.14
73.52,161.6,36.28,14.14
33.53,55.09,30.49,6.63
4.71,12.48,40,13.98
106.51,116.32,25.68,14.4
24.38,170.22,44.53,4.36
20.77,158.62,15.53,3.03
116.6,191.45,39.87,14.21
24.8,55.06,27.46,3.76
210.84,232.21,37.08,27.94
115.38,170.78,37.78,17.98
88.77,218.41,25.16,3.82
154.4,183.78,13.68,26.03
163.66,213.74,27.73,39.31
106.22,172.04,38.07,5.44
31.96,93.32,24.33,3.9
64.83,91.97,32.35,32.28
226.43,241.86,37.91,21.62
142.09,162.56,33.83,18.41
123.27,246.84,41.78,20.63
6.21,41.05,22.51,39.24
118.59,237.44,14.08,31.6
17.72,104.34,18.5,25.25
115.56,123.39,39.46,0.1
231.98,237.52,15.68,38.11
28.22,184.63,22.54,13.04
65.9,239.52,18.02,25.42
10.76,60.85,33.36,16.99
48.81,205.2,12.65,5.11
167.51,184.45,42.63,18.72
86.71,150.57,31.65,23.45
38.31,45.97,36.8,16.32
49.39,55.31,12.48,7.04
69.22,83.77,10.46,28.96
13.27,174.94,14.54,36.8
80.02,148.74,31.84,2.28
24.57,34.76,21.75,12.12
102.28,159.16,22.46,6.82
154.52,185.29,47.03,14.55
67.44,217.16,47.4,12.31
94.08,133.61,27.55,11.72
144.86,230.62,45.95,32.73
135.82,172.52,27.5,21.32
2.75,10.78,12.72,14.89
57.89,58.08,39.25,2.57
97.2,115.14,31.1,29.65
25.47,195.67,16.67,10.69
7.24,28.05,47.08,33.98
88.15,110.06,35.36,12.15
191.81,195.7,20.65,19.89
191.91,233.09,17.08,28.41
72.25,110.84,25.92,2.81
1.47,36.64,27.4,25.52
49.71,99.01,27.07,19.67
105,132.79,32.09,30.28
49.59,69.8,28.19,13.44
151.93,234.6,38.87,34.59
18.32,28.58,48.65,7.87
54.56,58.01,36.62,9.89
20.76,21.73,12.96,21.74
35.79,35.94,23.71,34.46
60.55,142.65,32.64,1.75
15.43,71.22,29.07,19.69
101.64,227.7,15.33,24.07
127.83,226.55,23.44,34.83
124.06,175.64,43.61,20.06
137.8,138.61,14.04,22.56
32.75,126.1,33.94,35.26
136.85,144.88,26.27,35
14.21,38.24,18.98,0.92
21.59,166.57,10.11,20.12
105.79,136.69,20.74,34.61
16.92,159.09,24.89,14.68
36.44,204.75,29.51,33.71
96.52,134.89,45.85,1.65
44.59,222.98,43.48,21.87
19.89,134.68,23.74,27.33
76.36,198.06,29.07,35.19
67.91,90.55,33.09,11.59
109.74,110.26,42.16,37.74
11.76,219.24,13.24,38.84
57.42,82.11,21.02,30.24
35.38,56.37,18.55,6.11
108.23,237.29,48.32,14.38
17.15,213.67,48.21,38.52
60.71,83.99,18.68,15.83
55.29,60.17,34.04,17.36
152.08,194.9,49.57,24.73
84.24,199.82,43.85,35.07
7.39,184.51,46.09,38.02
3.6,198.9,49.85,2.11
137.9,188.13,23.66,34.33
32.2,112.51,13.66,8.27
48.15,94.87,41.99,2.61
133.97,213.96,46.88,21.89
13.69,25.64,37.08,34.53
122.17,139.34,45.63,10.84
0.4,16.11,11.43,38.95
240.16,246.93,33.04,25.96
3.53,53.78,40.75,1.49
25.83,112.73,19.28,39.71
43.26,127.05,18.31,19.84
46.42,118.72,11.46,34.09
189.68,233.34,15.92,28.55
12.42,80.33,34.14,15.14
25.37,40.77,45.2,37.6
113.74,144.51,40.24,0.66
13.6,45.45,45.77,2.71
12.36,33.33,43.68,8.38
145.69,145.92,19.71,36.75
97.34,227.99,18.47,3.1
131.94,220,35.2,13.6
116.9,163.91,31.83,15.43
4.63,68.39,29.62,3.04
98.82,167.56,21.45,20.87
59.32,227.23,37.5,21.88
1.68,11.34,35.45,32.98
44.23,122.78,30.27,10.43
51.61,74.43,18.49,2.71
109.51,227.38,41.2,1.79
163.07,242.95,39.72,30.97
15.32,72.72,33.66,13.19
43.44,50.67,29.93,13.6
55.34,67.46,27.69,35.33
86.76,139.08,31.35,10.18
13.98,174.03,18.01,8.52
55.37,170.3,37.38,23.58
78,83.37,33.64,22.45
15.4,27.14,38.22,29.59
196.15,219.2,40.19,33.57
200.69,207.36,12.97,3.77
200.53,210.12,12.33,30.1
44.61,109.15,21.95,4.25
64.95,188.91,18.55,7.02
57.67,71.76,42.19,26.78
17.91,69.02,14.55,37
24.57,25.57,44.96,12.41
128.31,144.31,40.86,6.97
130.93,228.74,31.61,1.82
151.48,209.57,22.28,24.42
191.72,215.43,13.02,12.83
132.69,233.1,23.22,25.48
46.08,147.12,43.69,26.91
63.2,168.57,18.73,25.04
16.41,69.01,26.37,4.08
104.97,173.83,39.56,10.79
73.15,79.86,39.85,4.67
31.92,81.73,48.5,18.67
61.01,184.17,12.19,19.31
62.62,66,32.52,35.28
41.88,212.96,43.66,17.93
148.23,225.93,17.21,11.53
92.56,246.69,18.34,25.85
4.6,143.08,45.05,34.09
70.95,169.7,22.81,20.77
86.64,172.11,42.19,24.62
1.82,97.16,31.69,22.92
10.81,26.66,44.88,36.44
97.58,196.98,25.26,22.88
64.79,90.09,37.8,7.7
16.56,21.9,36.5,30.85
70.28,149.99,36.13,14.6
61.93,115.29,41.29,39.12
39.53,61.65,49.12,28.29
10.02,55.58,29.2,22.43
46.39,169.81,44.23,18.59
27.38,180.57,14.11,16.01
74.38,144.84,27.59,34.92
25.14,68.46,21.23,34.24
118.34,137,45.32,18.32
129.22,179.41,42.47,19.65
55.39,77.5,16.71,34.87
84.78,179.13,21.24,24.36
176.66,194.34,43.62,16.72
137.33,183.34,28.11,30.28
73.13,140.85,23.66,22.14
82.16,159.43,39.99,4.9
18.91,119.12,30.32,37.63
29.46,223.55,39.53,9.06
5.79,21.94,43.03,34.77
11.34,100.16,40.33,23.3
16.44,131.44,26.46,20.53
84.72,212.66,14.95,28.86
19.97,78.07,42.23,12.24
67.73,68.4,44.15,31.97
95.12,110.93,47.75,2.05
8.56,37.02,26.95,10.57
75.43,170.69,41.61,4.54
44.32,76.86,43.37,25.45
11.19,12.6,43.36,25.62
11.14,15.05,36.62,37.66
2.09,29.99,13.56,17.97
6.99,58.79,21.7,7.75
107.15,165.5,20.26,13.12
26.98,146.98,45.33,14.82
48.24,78.86,42.67,32.89
0.59,10.89,13.83,1.56
76.29,153.65,21.39,38.47
1.73,18.64,34.65,20.5
10.67,49.17,49.39,16.22
45.35,74.84,49.63,21.96
88.99,245.82,36.09,12.09
47.39,89.73,24.81,33.33
45.43,50.86,46.51,36.79
16.76,25.37,32.22,32.01
10.86,47.29,12.37,12.48
128.28,218.72,24.56,22.93
56.09,66.42,11.95,28.66
0.86,33.4,27.75,23.62
49.43,56.51,44.32,14.89
62.77,115.13,32.83,9.42
80.39,89.91,22.91,28.41
25.18,75.94,19.86,30.74
10.23,11.91,16.45,27.21
8.98,52.77,48.3,33.6
9.17,28.68,36.77,27.06
21.12,166.58,40.58,38.99
46.34,172.14,32.05,31.51
127.78,215.87,19.41,17.95
29.53,106.34,10.5,19.04
115.75,201.52,15.84,12.18
119.61,198.74,33.06,16.2
15.28,124.64,45.58,22.09
3.58,63.94,13.5,27.97
183.48,222.76,31.68,16.98
14.73,136.49,17.36,39.47
168.15,237.3,48.11,6.37
34.32,152.91,24.04,12.15
190.28,214.44,19.23,30.47
143.07,169.07,27.59,38.37
22.71,247.09,15.57,12.87
22.26,23.44,28.37,13.71
181.84,247.17,43.02,23.6
101.03,154.25,24.47,10.49
33.69,230.05,42.45,9.91
24.05,99.07,43.82,30.11
89.88,107.88,19.94,36.7
218.22,246.04,11.69,37.57
40.12,215.54,36.44,34.33
83.45,111.37,36.09,12.04
57.02,230.28,42.13,34.38
81.63,220.02,33.94,20.37
42.78,101.02,36.77,2.6
31.41,191.17,29.52,17.69
75.03,125.94,36.07,27.3
7.39,58.41,18.21,11.06
69.93,228.93,32.13,33.7
94.48,187.1,22.3,22.25
46.97,92.72,21.48,38.8
41.16,46.05,30.52,37.51
12.33,14.63,45.38,32.62
51.52,114.89,41.23,36.5
1.94,124.11,21.57,15.59
120.69,198.06,30.58,39.86
140.36,142.53,36.92,24.28
46.75,102.19,34.52,30.81
20.1,85.9,40.84,24.83
74,249.32,19.09,6.94
0.55,15.68,17.27,1.96
54.61,74.04,23.59,1.85
57.66,70.75,47.27,28.74
22.16,178.93,32.84,37.97
100.48,123.96,11.92,3.54
7.71,100.92,21.98,16.54
212.44,223.08,26.05,9.19
166.96,201.63,21.58,28.79
23.96,73.43,10.83,38.99
28.6,97.03,16.11,22.14
9.96,71.47,47.88,8.38
145.22,226.87,46.15,24.23
106.27,151.75,21.43,27.33
14.6,36.95,45.76,19.39
45.46,61.48,38.74,4.88
23.29,118.2,10.07,24.85
2.11,29.69,13.23,8.42
54.18,227.98,39.95,22.58
13.54,87.03,33.36,25.06
51.42,186.35,39.9,0.06
64.35,202.13,46.28,20.95
6.68,95.06,44.27,21.49
82.85,183.87,23.44,15.68
2.49,26.29,13.13,28.58
51.53,76.15,32.04,33.68
1.21,61.23,46.44,37.07
143.95,232.5,44.95,21.77
42.07,75.56,29.43,38.63
41.01,129.39,18.37,7.95
73.75,105.2,12.89,21.26
19.39,183.04,42.68,19.3
21.35,79.64,41.09,6.59
115.82,150.49,44.76,4.98
167.91,176.49,22.25,20.61
234.3,238.44,44.92,15.94
189.76,220.92,30.34,22.16
169.38,215.41,42.2,0.27
132.83,174.44,31.72,16.65
17.01,203.26,17.14,6.97
120.23,146.76,26.35,15.51
69.28,114.03,47.44,33.5
205.66,229.52,47.72,5.46
7.13,41.48,39.78,3.16
203.59,242.09,17.91,18.51
125.88,235.14,36.93,24.98
81.56,190.63,23.15,22.41
41.05,85.68,31.16,15.62
93.25,225.18,42.03,30.78
103.9,107.89,33.97,28.65
188.16,247.24,18.66,23.78
108.15,168.39,18.95,27.76
42.1,63.21,40.45,18.81
53.27,228.43,38.62,24.65
65.66,113.96,48.23,14.92
4.87,34.82,33.24,4.5
60.41,144.7,26.37,31.68
116.19,192.78,48.2,15.87
78.29,181.2,23.47,20.8
101.97,111.46,22.71,33.94
149.08,185.85,37.67,6.73
86.22,247.92,34.33,4.35
65,96.1,46.29,3.34
206.4,208.79,36.51,18.36
52.5,204.11,10.31,25.97
60.19,237.71,20.97,13
160.44,204.01,15.37,5.98
74.42,111.77,48.65,34.52
7.84,164.8,34.71,34.54
21.53,68.94,20.67,24.15
53.81,123.59,48.3,5.77
163.5,248.99,48.49,25.17
